name,born,position,debut,stats
Stephen Steyn,"
November 10, 1889, Moorreesburg
   ", Wing,"England v Scotland at Twickenham, Mar 18, 1911 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '0', 'Lost': '2', 'Draw': '0'}"
Mike Dickson,"
November 23, 1884
   ", Fullback,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '4', 'Lost': '3', 'Draw': '0'}"
Sandy Gunn,"
November 16, 1890, Pontypool
   ", Fly-half,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '5', 'Start': '5', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '3', 'Draw': '0'}"
Colin Hill,"
July 17, 1887, Glenwood, Leslie, Fife
   ", Forward,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
Dave Howie,"
May 12, 1888, Roseberry Temple, Mid
   ", Lock,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '4', 'Draw': '0'}"
Jenny Hume,"
March 17, 1890, Edinburgh
   ", Scrum-half,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '3', 'Lost': '3', 'Draw': '1'}"
William Purves,"
July 4, 1888, Wimbledon
   ", Lock,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '6', 'Start': '6', 'Sub': '0', 'Pts': '3', 'Tries': '1', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '4', 'Draw': '0'}"
Robert Robertson,"
July 28, 1891, ?
   ", Forward,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '1', 'Start': '1', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '0', 'Draw': '0'}"
George Will,"
September 2, 1892, Croydon
   ", Wing,"Scotland v France at Inverleith, Jan 20, 1912 ","{'Mat': '7', 'Start': '7', 'Sub': '0', 'Pts': '15', 'Tries': '5', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '2', 'Lost': '5', 'Draw': '0'}"
James Boyd,"
August 18, 1891, Amoy
   ", Fly-half,"Scotland v England at Inverleith, Mar 16, 1912 ","{'Mat': '2', 'Start': '2', 'Sub': '0', 'Pts': '0', 'Tries': '0', 'Conv': '0', 'Pens': '0', 'Drop': '0', 'GfM': '0', 'Won': '1', 'Lost': '1', 'Draw': '0'}"
